service_id,date,exception_type
4_I12,20210101,2
4_I12,20210106,2
4_I12,20210319,2
4_I12,20210401,2
4_I12,20210402,2
4_I12,20210501,2
4_I12,20210503,2
4_I12,20210515,2
4_I12,20211012,2
4_I12,20211101,2
4_I12,20211109,2
4_I12,20211206,2
4_I12,20211208,2
4_I12,20211225,2
4_I13,20210101,1
4_I13,20210106,1
4_I13,20210319,1
4_I13,20210401,1
4_I13,20210402,1
4_I13,20210501,1
4_I13,20210503,1
4_I13,20210515,1
4_I13,20211012,1
4_I13,20211101,1
4_I13,20211109,1
4_I13,20211206,1
4_I13,20211208,1
4_I13,20211225,1
4_I14,20210101,2
4_I14,20210106,2
4_I14,20210319,2
4_I14,20210401,2
4_I14,20210402,2
4_I14,20210501,2
4_I14,20210503,2
4_I14,20210515,2
4_I14,20211012,2
4_I14,20211101,2
4_I14,20211109,2
4_I14,20211206,2
4_I14,20211208,2
4_I14,20211225,2
4_I15,20210101,2
4_I15,20210106,2
4_I15,20210319,2
4_I15,20210401,2
4_I15,20210402,2
4_I15,20210501,2
4_I15,20210503,2
4_I15,20210515,2
4_I15,20211012,2
4_I15,20211101,2
4_I15,20211109,2
4_I15,20211206,2
4_I15,20211208,2
4_I15,20211225,2
