,stop_id_x,stop_name_x,parent_station_x,stop_id_y,stop_name_y,parent_station_y
0,est_90_21,Intercambiador de Plaza de Castilla,,par_4_1,PLAZA DE CASTILLA,est_90_21
1,est_90_21,Intercambiador de Plaza de Castilla,,acc_4_1_1,Plaza de Castilla,est_90_21
2,est_90_21,Intercambiador de Plaza de Castilla,,acc_4_1_1040,Ascensor,est_90_21
3,est_90_21,Intercambiador de Plaza de Castilla,,acc_4_1_1043,Intercambiador Superficie,est_90_21
4,est_90_21,Intercambiador de Plaza de Castilla,,acc_4_1_1044,Ascensor,est_90_21
5,est_90_21,Intercambiador de Plaza de Castilla,,acc_4_1_2,Castellana impares,est_90_21
6,est_90_21,Intercambiador de Plaza de Castilla,,acc_4_1_3,Bravo Murillo,est_90_21
7,est_90_21,Intercambiador de Plaza de Castilla,,acc_4_1_4,Paseo Castellana pares,est_90_21
8,est_90_21,Intercambiador de Plaza de Castilla,,acc_4_1_773,Intercambiador,est_90_21
9,est_90_21,Intercambiador de Plaza de Castilla,,par_4_164,PLAZA DE CASTILLA,est_90_21
10,est_90_21,Intercambiador de Plaza de Castilla,,par_4_190,PLAZA DE CASTILLA,est_90_21
11,est_90_25,Chamartín,,par_4_261,CHAMARTIN,est_90_25
12,est_90_25,Chamartín,,acc_4_261_474,Chamartín,est_90_25
13,est_90_25,Chamartín,,acc_4_261_642,Ascensor,est_90_25
14,est_90_25,Chamartín,,par_4_189,CHAMARTIN,est_90_25
15,est_90_54,Atocha-Renfe,,par_4_16,ATOCHA RENFE,est_90_54
16,est_90_54,Atocha-Renfe,,acc_4_16_53,Alfonso XII,est_90_54
17,est_90_54,Atocha-Renfe,,acc_4_16_54,Paseo Infanta Isabel,est_90_54
18,est_90_54,Atocha-Renfe,,acc_4_16_572,Ascensor,est_90_54
19,est_90_58,Puerta del Sol,,par_4_12,SOL,est_90_58
20,est_90_58,Puerta del Sol,,acc_4_12_1034,Alcalá,est_90_58
21,est_90_58,Puerta del Sol,,acc_4_12_1048,RENFE,est_90_58
22,est_90_58,Puerta del Sol,,acc_4_12_41,Carretas,est_90_58
23,est_90_58,Puerta del Sol,,acc_4_12_42,Carmen,est_90_58
24,est_90_58,Puerta del Sol,,acc_4_12_43,Mayor,est_90_58
25,est_90_58,Puerta del Sol,,acc_4_12_776,Ascensor,est_90_58
26,est_90_58,Puerta del Sol,,acc_4_12_777,Preciados,est_90_58
