Lon;Lat
-0.3352287;39.4701833
-0.3362802;39.4705974
-0.3375891;39.4710281
-0.3390911;39.4714587
-0.3403357;39.4719722
-0.3419664;39.4723366
-0.3433397;39.4728832
-0.3445199;39.4731483
-0.3459361;39.4735789
-0.3471807;39.4739267
-0.3483823;39.4742415
-0.3495625;39.4745562
-0.3507856;39.4749702
-0.3518155;39.4753015
-0.3528455;39.4755168
-0.3541544;39.4759972
-0.3549913;39.4762622
-0.3560427;39.4764775
-0.3569868;39.4768087
-0.3583387;39.47714
-0.3593901;39.4775044
-0.3606561;39.4777859
-0.3613856;39.4780675
-0.3626302;39.4782331
-0.3637031;39.4785809
-0.3648832;39.4788791
-0.3660205;39.4792931
