STOP_1;STOP_2;LINE;X_1;Y_1;X_2;Y_2;DIST;TIME
Las Tablas;Chamartin;8;-3.66944;40.50833;-3.68259;40.47203;4182.231630548803;8.36
Chamartin;Plaza de Castilla;1;-3.68259;40.47203;-3.68917;40.4669;797.4316661136673;1.59
Chamartin;Pinar de Chamartin;3;-3.68259;40.47203;-3.6668;40.48014;1613.6376958225928;3.23
Las Tablas;Pinar de Chamartin;18;-3.66944;40.50833;-3.6668;40.48014;3138.3248579055585;6.28
Plaza de Castilla;Colombia;4;-3.68917;40.4669;-3.67682;40.45634;1572.338147117691;3.14
Colombia;Mar de Cristal;4;-3.67682;40.45634;-3.63832;40.46943;3574.267912967463;7.15
Pinar de Chamartin;Mar de Cristal;7;-3.6668;40.48014;-3.63832;40.46943;2692.0329686713476;5.38
Plaza de Castilla;Nuevos Ministerios;3;-3.68917;40.4669;-3.69241;40.44662;2268.6680532440087;4.54
Plaza de Castilla;Cuatro Caminos;7;-3.68917;40.4669;-3.70397;40.44697;2544.353022973886;5.09
Colombia;Nuevos Ministerios;2;-3.67682;40.45634;-3.69241;40.44662;1707.0246950989103;3.41
Cuatro Caminos;Av. de America;5;-3.70397;40.44697;-3.67647;40.43804;2535.087347935412;5.07
Nuevos Ministerios;Gregorio Maranon;1;-3.69241;40.44662;-3.69148;40.43825;932.7741774909364;1.87
Cuatro Caminos;Bilbao;4;-3.70397;40.44697;-3.70218;40.42906;1994.571749088462;3.99
Guzman el Bueno;Cuatro Caminos;1;-3.71229;40.44637;-3.70397;40.44697;708.9635519535088;1.42
Cuatro Caminos;Canal;1;-3.70397;40.44697;-3.70433;40.43841;951.0199440653824;1.9
Guzman el Bueno;Canal;2;-3.71229;40.44637;-3.70433;40.43841;1112.3639454391935;2.22
Guzman el Bueno;Moncloa;5;-3.71229;40.44637;-3.71945;40.43502;1399.0985136026688;2.8
Moncloa;Arguelles;1;-3.71945;40.43502;-3.71596;40.43066;567.5333929294447;1.14
Arguelles;San Bernardo;1;-3.71596;40.43066;-3.70557;40.43001;884.5970328507334;1.77
Arguelles;Plaza de Espana;2;-3.71596;40.43066;-3.7112;40.42342;899.7202446015737;1.8
Arguelles;Principe Pio;1;-3.71596;40.43066;-3.72032;40.42107;1127.3460335057364;2.25
Principe Pio;Plaza de Espana;1;-3.72032;40.42107;-3.7112;40.42342;816.780681238065;1.63
Plaza de Espana;Tribunal;1;-3.7112;40.42342;-3.7011;40.42619;910.6303343860475;1.82
San Bernardo;Opera;3;-3.70557;40.43001;-3.70942;40.41809;1363.3579680447533;2.73
San Bernardo;Bilbao;1;-3.70557;40.43001;-3.70218;40.42906;306.39582033107877;0.61
Bilbao;Tribunal;1;-3.70218;40.42906;-3.7011;40.42619;331.6089558679893;0.66
Bilbao;Alonso Martinez;1;-3.70218;40.42906;-3.69594;40.42772;550.022327459837;1.1
Tribunal;Alonso Martinez;1;-3.7011;40.42619;-3.69594;40.42772;469.6803639439258;0.94
Tribunal;Sol;2;-3.7011;40.42619;-3.70326;40.41688;1049.9342770473168;2.1
Callao;Alonso Martinez;4;-3.70566;40.42014;-3.69594;40.42772;1178.5079650583878;2.36
Callao;Opera;1;-3.70566;40.42014;-3.70942;40.41809;391.9815979465753;0.78
Callao;Sol;1;-3.70566;40.42014;-3.70326;40.41688;415.37023509559987;0.83
Opera;Sol;1;-3.70942;40.41809;-3.70326;40.41688;539.7980563483674;1.08
Canal;Gregorio Maranon;2;-3.70433;40.43841;-3.69148;40.43825;1090.4073397310926;2.18
Gregorio Maranon;Av. de America;1;-3.69148;40.43825;-3.67647;40.43804;1273.7454780528046;2.55
Gregorio Maranon;Alonso Martinez;1;-3.69148;40.43825;-3.69594;40.42772;1228.9989154394427;2.46
Alonso Martinez;Goya;5;-3.69594;40.42772;-3.67591;40.42455;1735.8252117001396;3.47
Alonso Martinez;Ventas;7;-3.69594;40.42772;-3.66366;40.43088;2761.5577417367663;5.52
Av. de America;Principe de Vergara;3;-3.67647;40.43804;-3.68012;40.42294;1705.1133003099842;3.41
Av. de America;Goya;4;-3.67647;40.43804;-3.67591;40.42455;1498.722649124649;3
Av. de America;Manuel Becerra;2;-3.67647;40.43804;-3.66926;40.4279;1281.4445691925127;2.56
