"osm_id";"amenity";"name";"tags";"geom"
1853454130;school;;"";POINT (8.7740734 38.9675502)
1838713300;school;;"";POINT (9.0012174 39.0032924)
7046501591;school;Istituzione Paritaria Scuole Boccaccio;"""email""=>""info@scuolaprivataiglesias.it"", ""phone""=>""078131477"", ""website""=>""www.scuoleboccaccio.edu.it"", ""addr:city""=>""Iglesias"", ""wheelchair""=>""yes"", ""addr:street""=>""Via Vittorio Veneto"", ""description""=>""L‘Istituzione Paritaria Scuole Boccaccio mette  al centro della sua attività didattica lo studente, con il suo bagaglio umano e culturale.  Liceo sportivo e Tecnico informatico. erami e scrutini in sede "", ""addr:postcode""=>""09016""";POINT (8.5349855 39.3109433)
2013680932;school;Scuole Elementari;"";POINT (8.6660333 39.3024095)
2014118100;school;Scuole Medie Comunali;"";POINT (8.6649094 39.3047315)
1417196553;school;Scuola secondaria di primo grado;"";POINT (8.9947182 39.0350599)
4223206789;school;;"";POINT (8.9716057 39.1790461)
4482283316;school;Scuola Elementare Garibaldi;"""addr:city""=>""Uta"", ""addr:street""=>""Piazza Giuseppe Garibaldi"", ""addr:postcode""=>""09010""";POINT (8.9574623 39.2890482)
4482283317;school;Scuola Media Ennio Porrino;"""addr:city""=>""Uta"", ""addr:street""=>""Via Regina Margherita"", ""addr:postcode""=>""09010""";POINT (8.9576438 39.2916941)
3780627190;school;Scuola Elementare;"";POINT (9.0000853 39.2842762)
5751134873;school;Baby School 100;"""addr:city""=>""Elmas"", ""addr:street""=>""via Temo;Via Temo"", ""addr:postcode""=>""09030""";POINT (9.0500512 39.263873)
5751128298;school;I Speak English;"""addr:city""=>""Elmas"", ""addr:street""=>""Via Temo"", ""addr:postcode""=>""09030""";POINT (9.0502474 39.2641862)
4748688922;school;"Convitto Nazionale ""Vittorio Emanuele II""";"""wheelchair""=>""no""";POINT (9.1156006 39.2157695)
1165439770;school;"SMS ""Alfieri""";"";POINT (9.1269874 39.2132055)
994731154;school;;"""wheelchair""=>""yes""";POINT (9.1320573 39.2190117)
2337549862;school;;"";POINT (9.1391312 39.2576789)
1996980169;school;;"";POINT (9.0131507 39.3605731)
1581521290;school;"Liceo Classico - Delle Scienze Sociali ""B. R. Motzo""";"""wheelchair""=>""limited""";POINT (9.1803518 39.2386618)
1583923042;school;"Scuola Media n°5 ""Lao Silesu""";"""wheelchair""=>""limited""";POINT (9.1850007 39.2319197)
460019077;school;;"";POINT (9.1879693 39.2349573)
1583923057;school;"Scuola Media n°5 ""Lao Silesu""";"""wheelchair""=>""limited""";POINT (9.1911697 39.2338394)
265659727;school;Terzo Circolo didattico;"";POINT (9.1961017 39.2360318)
1583923038;school;;"";POINT (9.1978753 39.2361496)
2367575702;school;;"";POINT (9.2147895 39.2401044)
765901932;school;"IIS ""G.Brotzu"" - ""P.Levi"" - ""M.Giua""";"";POINT (9.2132336 39.240501)
2337549859;school;Scuola dei Salesiani;"";POINT (9.1440853 39.2529435)
875747125;school;Liceo scientifico Pitagora;"";POINT (9.1605716 39.2472368)
5333158661;school;;"";POINT (9.1592372 39.2525341)
860469528;school;Scuola elementare Santa Lucia;"";POINT (9.1595101 39.2528698)
1852064744;school;Istituto Tecnico Geometri;"";POINT (9.1623462 39.2518759)
867589414;school;Scuola media inferiore Dante Alighieri;"";POINT (9.1622676 39.2522751)
860469845;school;Asilo nido;"";POINT (9.1591831 39.2592909)
869423135;school;Scuola materna Maria Vergine Assunta;"";POINT (9.1692748 39.2536628)
869423047;school;Via Roma Scuola Elementare;"";POINT (9.1680441 39.2560278)
867589390;school;Scuola elementare Via Rossini;"";POINT (9.1669776 39.26143)
867589392;school;Asilo;"";POINT (9.167632 39.2617706)
867589389;school;Scuola media inferiore;"";POINT (9.1655721 39.2634735)
1986470685;school;Scuola Primaria Manzoni;"";POINT (9.2280123 39.2808395)
7319959767;school;Scuola Elementare;"";POINT (9.2830782 39.2187014)
4512454361;school;Ludoteca Comunale;"""addr:city""=>""Burcei"", ""addr:street""=>""Via Municipio"", ""addr:postcode""=>""09040""";POINT (9.3600235 39.3439329)
2314314001;school;Istituto d'istruzione superiore Alberghiero;"";POINT (8.31613 40.5558842)
4473484692;school;"Istituto d'Istruzione Superiore ""G. Manno""";"""addr:city""=>""Alghero"", ""addr:street""=>""Via Carlo Alberto"", ""addr:postcode""=>""07041""";POINT (8.314503 40.5567524)
1163328174;school;"Scuola Elementare II Circolo ""Maria Immacolata""";"";POINT (8.3185021 40.5556731)
1163328172;school;Convitto maschile annesso I.P.A.S.;"";POINT (8.3207927 40.5561011)
2314320417;school;Liceo Scientifico Enrico Fermi;"";POINT (8.3285942 40.5620465)
2314320419;school;Scuola Media n.2;"";POINT (8.330107 40.5628697)
1995120841;school;Scuola Materna;"";POINT (8.6051198 39.5259751)
2219334690;school;;"";POINT (8.9229786 39.419699)
2603347378;school;Scuola Elementare;"""addr:city""=>""Nuraminis"", ""addr:street""=>""Via Giuseppe Garibaldi"", ""addr:postcode""=>""09024""";POINT (9.0160526 39.4394814)
2603347387;school;Scuola Media - Scuola secondaria di I grado;"""phone""=>""+39 070 912530"", ""addr:city""=>""Nuraminis"", ""addr:street""=>""Via Nazionale"", ""addr:postcode""=>""09024""";POINT (9.0164904 39.4391804)
2030489960;school;Scuola Media Vittorio Angius;"";POINT (8.9734756 39.4909296)
2494871232;school;;"";POINT (8.5831437 39.7748743)
2494871233;school;;"";POINT (8.5834021 39.7755893)
3275249487;school;Istituto Comprensivo Oristano n. 3;"""addr:city""=>""Oristano"", ""addr:street""=>""Via Amsicora"", ""addr:postcode""=>""09170""";POINT (8.5969242 39.8969152)
6358543649;school;Istituto Comprensivo Marrubiu;"""addr:city""=>""Marrùbiu/Marrubiu"", ""addr:street""=>""Via Tirso"", ""addr:postcode""=>""09094""";POINT (8.6370485 39.751317)
6358673230;school;Istituto Comprensivo Cabras;"""addr:city""=>""Crabas/Cabras"", ""addr:street""=>""Via Trieste"", ""addr:postcode""=>""09072""";POINT (8.5378714 39.9278429)
6358497604;school;Istituto Comprensivo Samugheo;"""addr:city""=>""Samugheo"", ""addr:street""=>""Via Brigata Sassari"", ""addr:postcode""=>""09086""";POINT (8.9452041 39.9544183)
4274294886;school;Scuola Media E.Zuddas;"""addr:city""=>""Serdiana"", ""addr:street""=>""Via Eleonora d'Arborea"", ""addr:postcode""=>""09040""";POINT (9.1603621 39.3753353)
2637983021;school;Scuola media D.Alighieri;"";POINT (9.5707535 39.4204891)
1595023016;school;Scuola primaria;"""addr:street""=>""Via Elini"", ""addr:postcode""=>""08040""";POINT (9.5417078 39.8938555)
4811229825;school;Scuola Elementare;"""name:it""=>""Scuola Elementare"", ""addr:street""=>""Viale Virgilio Pirastu"", ""addr:postcode""=>""08048"", ""opening_hours""=>""Mo-Sa 08:00-16:30""";POINT (9.6539462 39.9260515)
2450387658;school;Scuola Media Via Ariosto;"";POINT (8.7780996 40.266894)
2450387657;school;Scuola Elementare Via Roma;"";POINT (8.7799778 40.2667883)
2055804586;school;Scuola Elementare Ignazio Salaris;"";POINT (8.8362616 40.2850018)
2055804822;school;Scuola Media Giangavino Passino;"";POINT (8.8367766 40.2851839)
2063309580;school;Scuole Superiori;"";POINT (9.0327131 40.4090718)
2063309635;school;Scuole Medie;"";POINT (9.0312594 40.411445)
6475126834;school;Scuola Secondaria di I grado;"""addr:city""=>""Uri"", ""addr:street""=>""Via Alghero"", ""addr:postcode""=>""07040""";POINT (8.4855187 40.6375037)
6475121508;school;Scuola Primaria;"""addr:city""=>""Uri"", ""addr:street""=>""Via Matteo Fara"", ""addr:postcode""=>""07040""";POINT (8.4895039 40.636166)
4469700481;school;Istituto Superiore Paritario Kennedy;"""website""=>""http://www.kennedysassari.it/"", ""addr:city""=>""Sassari"", ""addr:street""=>""Via Michele Coppino"", ""addr:postcode""=>""07100""";POINT (8.5576438 40.7247776)
2177659817;school;Scuola Elementare;"""isced:level""=>""1""";POINT (8.6652327 40.6486126)
2177663521;school;Scuola Media;"""isced:level""=>""2""";POINT (8.6665057 40.6488771)
4919637587;school;;"""addr:city""=>""Patada/Pattada"", ""addr:street""=>""Via Giovanni Ventitreesimo"", ""addr:postcode""=>""07016""";POINT (9.1125981 40.5818457)
1780113814;school;;"";POINT (9.3489256 40.2064916)
1780113809;school;;"";POINT (9.3583267 40.2034639)
1780113817;school;;"";POINT (9.3504732 40.2081898)
727865566;school;Università della Terza Età;"";POINT (9.3069784 40.3115466)
6239503479;school;Scuola Primaria Biscollai;"";POINT (9.3123561 40.3251405)
5222403900;school;Scuole;"";POINT (9.3271487 40.6497177)
1973679818;school;"Scuola Media ""G.Cappai""";"";POINT (8.5741951 40.7973769)
1973679320;school;Scuola Elementare;"";POINT (8.5748066 40.7976774)
1973679347;school;"Scuola Media ""G. Cappai""";"";POINT (8.5743238 40.7983109)
2009395982;school;"Scuola Paritaria ""Asilo B. Diaz""";"";POINT (8.5766094 40.7985989)
2060635571;school;Scuola Media Via Mazzini;"";POINT (8.5920609 40.7887344)
479953683;school;;"";POINT (9.1020453 40.8990047)
4485121689;school;Liceo Giovanni Maria Dettori;"""addr:city""=>""Tempio Pausania"", ""addr:street""=>""Viale Bernardo Demuro"", ""addr:postcode""=>""07029""";POINT (9.1018964 40.8996553)
479953691;school;;"";POINT (9.1032242 40.8982122)
479953674;school;;"";POINT (9.1028774 40.8993842)
479953695;school;;"";POINT (9.1037701 40.899881)
3687089562;school;;"";POINT (9.063334 40.929791)
4732863123;school;Scuola;"""name:it""=>""Scuola"", ""addr:street""=>""Via Regina Elena""";POINT (9.2046622 41.046324)
4203453689;school;Scuola Elementare;"""addr:street""=>""Via Trieste""";POINT (9.2059368 41.0492798)
4479857390;school;Polo universitario di Olbia;"""level""=>""1"", ""name:it""=>""Polo universitario di Olbia""";POINT (9.5152904 40.902659)
259487500;school;Istituto Tecnico Commerciale;"""wheelchair""=>""yes""";POINT (9.4969333 40.9220084)
4477835890;school;;"";POINT (9.5891478 40.8876023)
260635956;school;;"";POINT (9.6314738 40.8730764)
1929020351;school;;"";POINT (9.4137973 41.2202656)
4523772191;school;Acque Libere ONLUS;"""phone""=>""+39 339 6958647"", ""website""=>""http://www.acque-libere.org"", ""addr:city""=>""La Maddalena"", ""wheelchair""=>""yes"", ""addr:street""=>""Via Ammiraglio Mirabello"", ""addr:postcode""=>""07024"", ""toilets:wheelchair""=>""yes""";POINT (9.4157767 41.2164792)
5361801768;school;Scuola primaria;"";POINT (6.7492385 44.9386065)
5045012581;school;Scuola Elementare;"";POINT (6.8772152 44.9575678)
5010340869;school;Scuola Sant'Anna;"";POINT (7.6440543 43.7840131)
5010340868;school;Scuola Maria Ausiliatrice;"";POINT (7.6446336 43.7842629)
6411636220;school;Scuola Media Statale G. Natta;"";POINT (7.6246937 43.8498459)
6411636219;school;Scuole Elementari Luigina Garoscio;"";POINT (7.6245361 43.850008)
1446226754;school;Scuola Media Valdieri;"""addr:street""=>""Via Guglielmo Marconi"", ""addr:postcode""=>""12010""";POINT (7.3990767 44.2763033)
496552986;school;Scuola media A. Nobel;"";POINT (7.7551183 43.811181)
496552991;school;Scuola materna Asquasciati;"";POINT (7.7564143 43.8105678)
497396639;school;Asilo Nido San Lorenzo;"";POINT (7.7431769 43.8204808)
1726324150;school;Mater Misericordiae School;"";POINT (7.7774936 43.8156104)
501815808;school;Istituto C. Colombo;"";POINT (7.7750435 43.817911)
1722836496;school;;"";POINT (7.7701879 43.8272132)
1722627783;school;;"";POINT (7.7718616 43.8280953)
1724212771;school;;"";POINT (7.7723009 43.8279574)
1722591841;school;;"";POINT (7.779735 43.8210759)
5802330007;school;Istituto comprensivo Arma di Taggia;"";POINT (7.8534986 43.8347058)
3823235763;school;Scuola primaria;"""contact:email""=>""IMIC81000Q@istruzione.it"", ""contact:phone""=>""+39 0183 280337""";POINT (7.9526627 43.9067882)
1304621663;school;Scuola Media Boine;"";POINT (8.0160791 43.8795219)
472444712;school;Piazza Calvi (ex Collegio);"";POINT (8.0451938 43.8887942)
472453483;school;Magistrali;"";POINT (8.0424671 43.8924063)
3387347532;school;Scuole;"""addr:city""=>""Borgomaro"", ""addr:street""=>""Via L. Ameglio"", ""addr:postcode""=>""18021""";POINT (7.9453356 43.9756861)
1592872302;school;;"";POINT (8.0217407 44.0590016)
2827016363;school;;"";POINT (8.0994351 44.0558671)
410265040;school;Asilo Nido;"";POINT (8.146484 44.0870697)
7072397516;school;Complesso Scolastico Tomaso Paccini;"";POINT (8.2105348 44.0494117)
7072387571;school;Liceo statale Giordano Bruno;"";POINT (8.2129428 44.0549515)
2309656115;school;Scuola elementare;"";POINT (8.2276213 44.0926724)
2310736045;school;Scuola Ragioneria;"";POINT (8.2509144 44.1197207)
4685109838;school;;"";POINT (8.2064196 44.1265853)
4685109839;school;;"";POINT (8.2055345 44.1285095)
2309932354;school;Scuola Media;"";POINT (8.2468823 44.1241029)
2310162595;school;rossello;"";POINT (8.2554156 44.127188)
4269541343;school;Scuola Infermieri Professionali S. Angela Gualla;"";POINT (8.2718202 44.1448969)
279212857;school;;"";POINT (8.2675643 44.1752975)
1686498058;school;Primaria di Finalmarina Arene Candide;"";POINT (8.3381359 44.1713691)
7154054862;school;Primaria di Finalborgo Emanuele Celesia;"";POINT (8.3381067 44.1715998)
1686498064;school;Scuole Medie;"""website""=>""http://www.icfinaleligure.gov.it/?page_id=3343""";POINT (8.3347415 44.1751012)
7154037066;school;IstIsituto professionale per l’industria e l’artigianato Leonardo Da Vinci;"""phone""=>""+39 019 691372"", ""website""=>""http://www.iisfinale.it/""";POINT (8.3424452 44.169118)
1446286225;school;Scuola Elementare;"""addr:street""=>""Via Venticinque Aprile"", ""addr:postcode""=>""12020""";POINT (7.3817765 44.4136563)
7070298253;school;AFP Dronero-Azienda Formazione Professionale;"""email""=>""info@afpdronero.it"", ""phone""=>""+39 0171 909189"", ""website""=>""http://www.afpdronero.it/index.php?module=site&method=main_dronero"", ""isced:level""=>""3""";POINT (7.3579586 44.4661414)
3726048889;school;Scuola Primaria Dronero;"""email""=>""cnee068007@istruzione.it"", ""phone""=>""+39 0171 918138"", ""isced:level""=>""1""";POINT (7.3583394 44.4666784)
